tag	used_by	language	yaml_path
_AGER	MagiKey	en-US	structure/extension/MagiKey_AGER.yaml
_CENR	MagiKey	en-US	structure/extension/MagiKey_CENR.yaml
INDI	MagiKey	en-US	structure/extension/MagiKey_CENR_INDI.yaml
SEX	MagiKey	en-US	structure/extension/MagiKey_CENR_SEX.yaml
AGE	MagiKey	en-US	structure/extension/MagiKey_CENR_SEX_AGE.yaml
FATH	MagiKey	en-US	structure/extension/MagiKey_FATH.yaml
MOTH	MagiKey	en-US	structure/extension/MagiKey_MOTH.yaml
_MSTAT	MagiKey	en-US	structure/extension/MagiKey_MSTAT.yaml
_CENR	MagiKey	en-US	structure/extension/MagiKey_record_CENR.yaml
_SCHD	MagiKey	en-US	structure/extension/MagiKey_SCHD.yaml
